id,staffid,age,gender,tenuretrack,nonenglish,courseevaluation,students,division,beauty
0,1,36,f,1,0,4.3,43,U,0.20156664
1,1,36,f,1,0,3.7,125,U,0.20156664
2,1,36,f,1,0,3.6,125,U,0.20156664
3,1,36,f,1,0,4.4,123,U,0.20156664
4,2,59,m,1,0,4.5,20,U,-0.82608134
5,2,59,m,1,0,4,40,U,-0.82608134
6,2,59,m,1,0,2.1,44,U,-0.82608134
7,3,51,m,1,0,3.7,55,U,-0.6603327
8,3,51,m,1,0,3.2,195,U,-0.6603327
9,4,40,f,1,0,4.3,46,U,-0.7663125
10,4,40,f,1,0,3.5,27,U,-0.7663125
11,4,40,f,1,0,4.1,25,U,-0.7663125
12,4,40,f,1,0,4.6,20,U,-0.7663125
13,4,40,f,1,0,3.8,25,U,-0.7663125
14,4,40,f,1,0,3.8,42,U,-0.7663125
15,4,40,f,1,0,3.8,20,U,-0.7663125
16,4,40,f,1,0,4.2,18,U,-0.7663125
17,5,31,f,1,0,4.4,48,U,1.4214451
18,5,31,f,1,0,3.9,44,U,1.4214451
19,5,31,f,1,0,4.5,48,U,1.4214451
20,5,31,f,1,0,4.5,45,U,1.4214451
21,5,31,f,1,0,4.4,59,U,1.4214451
22,5,31,f,1,0,4.4,87,U,1.4214451
23,6,62,m,1,0,4.2,282,U,0.5002196
25,6,62,m,1,0,4.4,292,U,0.5002196
26,6,62,m,1,0,4.5,130,U,0.5002196
27,6,62,m,1,0,4.3,285,U,0.5002196
28,6,62,m,1,0,4.6,272,U,0.5002196
29,6,62,m,1,0,4.8,286,U,0.5002196
30,6,62,m,1,0,4.3,302,U,0.5002196
31,7,33,f,1,0,4,41,U,-0.21435009
32,7,33,f,1,0,4,34,U,-0.21435009
33,7,33,f,1,0,4,41,U,-0.21435009
34,7,33,f,1,0,3.9,41,U,-0.21435009
35,7,33,f,1,0,3.3,34,U,-0.21435009
36,8,51,f,1,0,3.4,41,U,-0.34653896
37,8,51,f,1,0,4.5,22,U,-0.34653896
38,8,51,f,1,0,4.5,21,U,-0.34653896
39,8,51,f,1,0,4.5,17,U,-0.34653896
40,8,51,f,1,0,2.5,30,L,-0.34653896
41,8,51,f,1,0,4.3,23,U,-0.34653896
42,8,51,f,1,0,4.5,20,U,-0.34653896
44,9,33,f,1,0,4.5,60,U,0.061343513
45,9,33,f,1,0,4.7,33,U,0.061343513
46,9,33,f,1,0,3.5,44,U,0.061343513
47,9,33,f,1,0,4.5,49,U,0.061343513
48,9,33,f,1,0,3.8,29,U,0.061343513
49,9,33,f,1,0,4.5,48,U,0.061343513
50,9,33,f,1,0,4.3,40,U,0.061343513
51,10,47,m,0,0,3.9,19,U,0.45256788
52,10,47,m,0,0,3.9,16,U,0.45256788
53,10,47,m,0,0,4.3,15,U,0.45256788
54,10,47,m,0,0,4.2,23,U,0.45256788
55,10,47,m,0,0,5,11,L,0.45256788
56,10,47,m,0,0,5,29,L,0.45256788
57,10,47,m,0,0,4.6,21,U,0.45256788
58,10,47,m,0,0,5,18,L,0.45256788
59,10,47,m,0,0,4.7,19,U,0.45256788
61,10,47,m,0,0,5,20,L,0.45256788
62,11,35,m,1,1,3.1,25,U,0.1432643
63,11,35,m,1,1,2.7,33,U,0.1432643
64,11,35,m,1,1,4,24,U,0.1432643
65,12,37,m,0,0,4,34,U,-0.15502281
66,12,37,m,0,0,4.4,21,U,-0.15502281
67,12,37,m,0,0,4.4,30,U,-0.15502281
68,12,37,m,0,0,4.3,25,U,-0.15502281
69,12,37,m,0,0,3.5,35,U,-0.15502281
70,13,42,m,1,0,3.8,40,U,0.12854326
71,13,42,m,1,0,3.8,30,U,0.12854326
72,13,42,m,1,0,3.9,42,U,0.12854326
73,13,42,m,1,0,3.7,57,U,0.12854326
74,13,42,m,1,0,3.3,57,U,0.12854326
75,13,42,m,1,0,4,51,U,0.12854326
76,13,42,m,1,0,3.8,30,U,0.12854326
77,14,49,m,1,1,3.4,36,U,-0.34704533
78,14,49,m,1,1,4.2,37,U,-0.34704533
79,14,49,m,1,1,3.1,29,U,-0.34704533
80,14,49,m,1,1,3.6,27,U,-0.34704533
81,15,37,f,1,0,2.9,28,U,0.46193877
82,15,37,f,1,0,3.3,52,U,0.46193877
83,15,37,f,1,0,2.9,26,U,0.46193877
84,15,37,f,1,0,3.1,30,U,0.46193877
85,16,45,m,1,0,4.5,33,U,-0.1503849
86,16,45,m,1,0,4,177,L,-0.1503849
87,16,45,m,1,0,4,199,L,-0.1503849
88,16,45,m,1,0,4.2,32,U,-0.1503849
90,16,45,m,1,0,3.8,37,U,-0.1503849
91,16,45,m,1,0,4.3,161,L,-0.1503849
92,17,56,f,0,0,4,41,U,-1.0707343
93,17,56,f,0,0,4.6,44,U,-1.0707343
94,17,56,f,0,0,4.3,53,U,-1.0707343
95,17,56,f,0,0,3.6,49,U,-1.0707343
96,17,56,f,0,0,4.2,32,U,-1.0707343
97,18,48,m,0,0,3.8,135,L,-0.14269309
98,18,48,m,0,0,3.9,33,U,-0.14269309
99,18,48,m,0,0,4.1,19,U,-0.14269309
100,18,48,m,0,0,4,111,L,-0.14269309
101,18,48,m,0,0,4.3,149,L,-0.14269309
102,18,48,m,0,0,3.9,27,U,-0.14269309
103,18,48,m,0,0,4.2,136,L,-0.14269309
104,18,48,m,0,0,4.2,140,L,-0.14269309
105,19,46,f,1,0,4.3,31,U,-0.15636341
106,19,46,f,1,0,4.9,15,L,-0.15636341
107,19,46,f,1,0,4,29,U,-0.15636341
108,19,46,f,1,0,4.3,25,U,-0.15636341
109,19,46,f,1,0,4.9,18,U,-0.15636341
110,19,46,f,1,0,3.9,45,U,-0.15636341
111,19,46,f,1,0,4.9,15,L,-0.15636341
112,19,46,f,1,0,3.9,38,U,-0.15636341
113,19,46,f,1,0,4,15,L,-0.15636341
114,20,57,f,0,0,3.4,28,U,-0.058935404
115,20,57,f,0,0,3.5,23,U,-0.058935404
116,20,57,f,0,0,3.9,19,U,-0.058935404
117,20,57,f,0,0,4,23,U,-0.058935404
118,20,57,f,0,0,3.6,22,U,-0.058935404
119,20,57,f,0,0,3,20,U,-0.058935404
120,20,57,f,0,0,3,19,U,-0.058935404
121,20,57,f,0,0,3.6,23,U,-0.058935404
122,20,57,f,0,0,3.6,22,U,-0.058935404
123,20,57,f,0,0,3.2,15,U,-0.058935404
124,21,52,f,0,0,3.4,22,U,0.15113679
125,21,52,f,0,0,3.9,31,U,0.15113679
126,21,52,f,0,0,3.5,21,U,0.15113679
127,21,52,f,0,0,3.5,36,U,0.15113679
128,21,52,f,0,0,3.1,19,U,0.15113679
129,21,52,f,0,0,4.2,37,U,0.15113679
130,22,29,f,1,1,3.3,26,U,-0.937076
131,23,62,m,1,0,4.3,39,U,-0.8214405
132,23,62,m,1,0,3.6,184,L,-0.8214405
133,23,62,m,1,0,4.5,50,U,-0.8214405
134,23,62,m,1,0,3.7,157,L,-0.8214405
135,23,62,m,1,0,3.4,164,L,-0.8214405
136,24,64,m,1,0,4.4,24,U,-0.19947124
137,24,64,m,1,0,4.5,68,U,-0.19947124
138,24,64,m,1,0,4.6,47,U,-0.19947124
139,24,64,m,1,0,4.8,14,U,-0.19947124
140,24,64,m,1,0,4.5,15,U,-0.19947124
141,24,64,m,1,0,4.4,24,U,-0.19947124
142,24,64,m,1,0,4.1,39,U,-0.19947124
143,26,58,m,1,0,4.2,159,U,-0.41019756
144,26,58,m,1,0,4.3,151,U,-0.41019756
145,26,58,m,1,0,3.5,47,L,-0.41019756
146,26,58,m,1,0,4,122,U,-0.41019756
147,26,58,m,1,0,4,45,L,-0.41019756
148,27,52,m,1,1,4,16,U,0.12334483
149,27,52,m,1,1,4.6,23,U,0.12334483
150,27,52,m,1,1,4.6,16,U,0.12334483
151,27,52,m,1,1,3.7,18,U,0.12334483
152,27,52,m,1,1,3.5,16,U,0.12334483
153,27,52,m,1,1,3.6,15,U,0.12334483
154,27,52,m,1,1,3.9,28,U,0.12334483
155,28,73,m,1,0,3.3,17,U,-0.80599415
156,28,73,m,1,0,4.2,13,U,-0.80599415
157,28,73,m,1,0,3.2,21,U,-0.80599415
158,28,73,m,1,0,4.9,17,U,-0.80599415
159,29,70,m,1,0,4.4,134,U,-0.82104176
160,29,70,m,1,0,4,48,U,-0.82104176
161,29,70,m,1,0,3.5,64,U,-0.82104176
162,29,70,m,1,0,3.4,69,U,-0.82104176
163,30,41,f,1,0,2.3,12,U,0.3198185
164,31,63,m,0,0,3.5,43,U,-0.09855679
165,31,63,m,0,0,4.2,14,U,-0.09855679
166,31,63,m,0,0,3.5,15,U,-0.09855679
167,31,63,m,0,0,4.4,18,U,-0.09855679
168,31,63,m,0,0,3.7,16,U,-0.09855679
169,31,63,m,0,0,3.4,10,U,-0.09855679
170,31,63,m,0,0,3,47,U,-0.09855679
171,32,47,m,1,0,4.7,15,U,-1.0123061
172,32,47,m,1,0,3.9,14,U,-1.0123061
173,32,47,m,1,0,2.8,12,U,-1.0123061
174,33,39,m,1,0,3.9,246,L,0.48833144
175,33,39,m,1,0,3.7,316,L,0.48833144
176,33,39,m,1,0,4.6,15,U,0.48833144
177,33,39,m,1,0,4.2,15,U,0.48833144
178,33,39,m,1,0,4.4,29,U,0.48833144
179,34,47,f,1,0,4,21,L,-0.17195055
180,34,47,f,1,0,3.8,8,U,-0.17195055
181,34,47,f,1,0,4.1,16,L,-0.17195055
182,34,47,f,1,0,3.7,26,L,-0.17195055
183,34,47,f,1,0,4.1,10,U,-0.17195055
184,34,47,f,1,0,3,26,L,-0.17195055
185,34,47,f,1,0,3.2,26,L,-0.17195055
186,34,47,f,1,0,2.8,26,L,-0.17195055
187,34,47,f,1,0,4.7,21,L,-0.17195055
188,34,47,f,1,0,4.2,12,L,-0.17195055
189,34,47,f,1,0,3.2,27,L,-0.17195055
190,34,47,f,1,0,3.1,27,L,-0.17195055
191,34,47,f,1,0,4,25,L,-0.17195055
192,35,54,m,1,0,4.3,15,U,-1.1679069
193,35,54,m,1,0,4.2,15,U,-1.1679069
194,35,54,m,1,0,4.3,17,U,-1.1679069
195,36,44,f,1,0,3.8,55,U,0.9525534
196,36,44,f,1,0,3.3,48,U,0.9525534
197,36,44,f,1,0,4.1,21,U,0.9525534
198,36,44,f,1,0,3.7,39,U,0.9525534
199,37,47,m,1,0,3.8,27,U,-1.1404574
200,37,47,m,1,0,3.3,14,U,-1.1404574
201,37,47,m,1,0,3.8,26,U,-1.1404574
202,37,47,m,1,0,3.4,16,U,-1.1404574
203,37,47,m,1,0,4.2,16,U,-1.1404574
204,37,47,m,1,0,3.8,13,U,-1.1404574
205,37,47,m,1,0,3.5,14,U,-1.1404574
206,37,47,m,1,0,3.3,17,U,-1.1404574
207,38,62,m,1,0,4,13,U,-0.81611717
208,38,62,m,1,0,4.3,15,U,-0.81611717
210,38,62,m,1,0,4.1,10,U,-0.81611717
211,39,60,m,1,0,4.6,34,U,-0.48374557
212,39,60,m,1,0,4.5,16,U,-0.48374557
213,39,60,m,1,0,4.5,14,U,-0.48374557
214,39,60,m,1,0,4.6,12,U,-0.48374557
215,39,60,m,1,0,4.4,39,U,-0.48374557
216,39,60,m,1,0,4.1,35,U,-0.48374557
217,39,60,m,1,0,4.5,45,U,-0.48374557
218,39,60,m,1,0,4.3,45,L,-0.48374557
219,40,37,m,1,0,3.5,17,U,0.8450468
220,41,42,m,1,0,4.7,14,U,-0.32612774
221,41,42,m,1,0,4.4,14,U,-0.32612774
222,41,42,m,1,0,4.9,14,U,-0.32612774
223,41,42,m,1,0,4.7,12,U,-0.32612774
224,41,42,m,1,0,4.6,15,U,-0.32612774
225,42,35,m,1,0,4.2,51,U,0.1865589
226,42,35,m,1,0,4.8,23,L,0.1865589
227,42,35,m,1,0,4.2,57,U,0.1865589
228,42,35,m,1,0,4.6,50,L,0.1865589
229,43,39,f,0,0,3.4,24,L,1.8816743
230,43,39,f,0,0,4.7,23,U,1.8816743
231,43,39,f,0,0,4.6,23,U,1.8816743
232,43,39,f,0,0,3.6,28,L,1.8816743
233,45,61,m,1,0,4.5,27,L,0.15346938
234,45,61,m,1,0,4.4,38,U,0.15346938
235,45,61,m,1,0,4.5,22,L,0.15346938
236,45,61,m,1,0,4.4,43,U,0.15346938
237,46,33,m,1,0,4.7,31,U,1.2610456
238,46,33,m,1,0,3,13,U,1.2610456
239,46,33,m,1,0,3.7,15,U,1.2610456
240,47,58,f,1,0,3.5,34,U,0.023214415
241,48,56,f,1,0,3.7,19,U,-0.34607455
242,48,56,f,1,0,3.6,20,U,-0.34607455
243,48,56,f,1,0,3.1,23,U,-0.34607455
244,49,50,f,0,0,4,27,L,-0.744618
245,49,50,f,0,0,3.8,32,L,-0.744618
246,49,50,f,0,0,4.7,21,L,-0.744618
247,49,50,f,0,0,3.8,24,U,-0.744618
248,49,50,f,0,0,3.8,21,U,-0.744618
249,49,50,f,0,0,2.8,28,U,-0.744618
250,49,50,f,0,0,4,29,U,-0.744618
251,50,52,m,1,0,4.1,67,U,-0.74474394
252,50,52,m,1,0,4,89,U,-0.74474394
253,50,52,m,1,0,3.5,82,U,-0.74474394
254,50,52,m,1,0,3.4,122,U,-0.74474394
255,50,52,m,1,0,4,131,U,-0.74474394
